Gene ID	sample1	sample1	sample1	sample2	sample2	sample2	sample3	sample3	sample3	sample4	sample4	sample4
gene39.1	243.31	29.55	20.82	141.74	224.46	79.77	174.69	51.91	140.85	135.76	200.24	141.23
gene40.1	152.58	179.8	181.36	61.82	201.29	72.31	83.65	141.72	159.09	210.4	50.43	66.94
gene41.1	90.59	85.03	58.97	137.07	37.03	142.36	203.94	80.51	249.2	108.82	18.01	39.35
gene42.1	166.39	17.39	126.36	133.7	118.02	120.68	86.49	103.43	109.71	99.57	30.36	228.82
gene43.1	208.48	140.75	92.56	8.89	26.29	88.79	234.45	109.2	219.49	106.03	232.81	79.03
gene44.1	140.72	127.21	196.33	100.4	52.94	59.61	205.41	88.45	102.64	44.07	183.01	61.84
gene45.1	48.99	71.85	135.22	126.56	109.75	106.33	142.28	79.9	92.82	28.15	179.47	88.16
gene46.1	12.21	249.27	124.94	89.39	197.39	239.14	161.11	77.31	143.84	154.58	86.55	69.64
gene47.1	182.99	127.51	123.81	152.85	132.52	205.34	20.03	107.2	178.9	249.93	189.67	143.85
gene48.1	194.76	232.51	79.29	104.38	239.48	16.99	84.9	31.31	194.36	175.06	125.2	106.2
gene49.1	233.12	173.77	201.51	152.67	211.59	17.57	140.55	195.03	37.12	39.46	74.03	34.91
gene50.1	49.7	131.9	197.91	98.26	43.72	238.52	128.63	18.39	228.27	163.86	157.99	59.81
gene51.1	18.09	202.19	172.96	236.19	27.11	54.07	148.05	142.82	168.05	157.46	40.96	204
gene52.1	80.94	45.61	231.57	198.69	2.79	121.57	236.99	139.95	26.72	143.36	18.64	163.26
gene53.1	121.72	37.31	164.45	182.93	62.32	228.87	165	234.78	171.47	27.93	102.28	90.8
gene54.1	203.73	194.56	37.9	32.75	240.81	199.85	204.66	50.4	211.12	248.18	10.34	46.24
gene55.1	17.03	92.78	190.29	180.06	249.12	156.74	86.65	85.61	168.6	242.13	96.09	242.63
gene56.1	204.14	8.74	224.06	35.59	228.27	131.55	142.62	175.62	12.29	41.83	188.96	81.83
gene57.1	133.8	159.82	28.32	133.76	42.65	210.39	93.46	136.32	155.7	9.58	124.36	24.66
gene58.1	70.91	136.64	69.58	163.09	1.35	85.6	29.99	56.48	222.13	167.04	168.46	81.2
gene59.1	64.54	51.04	7.84	214.9	179.9	72.37	25.08	68.16	131.72	177.36	100	10.44
gene60.1	29.78	202.2	51.25	166.08	58.55	7.8	217.44	50.46	219.86	115.66	80.28	164.41
gene61.1	178.81	174.85	126.92	147.7	49.82	42.07	104.78	117.88	175.24	247.32	11.17	84.88
gene62.1	154.98	137.2	166.29	225.24	129.59	123.41	164.53	7.09	240.87	104.06	222.93	181.7
gene63.1	202.69	172.36	4.24	141.93	216.73	242.3	40.93	223.01	113.01	40.93	137.92	149.92
gene64.1	236.7	8.12	223.75	57.22	28.78	136.48	231.24	144.63	82.89	7.24	12.33	233.15
gene65.1	208.7	74.52	62.14	184.06	56.76	233.95	42.25	40.99	240.24	13.54	59.12	124.6
gene66.1	125.78	153.35	145.6	219.48	36.54	203.79	51.15	209.86	122.54	104.12	210.4	71.58
gene67.1	40.1	246.43	186.99	83.84	104.35	21.09	62.66	146.33	78.52	126.09	23.7	98.93
gene68.1	107.79	198.44	100.51	101.17	247.33	40.3	199.1	57.34	206.38	43.52	141.62	218.81
gene69.1	115.46	72	104.82	245.07	10.37	213.78	245.82	142.57	82.91	202.4	59.57	105.43
gene70.1	163.31	6.25	113.87	212.59	35.3	211.31	170.63	107.08	24.99	73.8	88	182.34
gene71.1	124.29	224.72	221.98	227.69	54.14	92.49	194.93	109.67	204.43	173.4	103.44	19.72
gene72.1	117.43	197.16	119.16	165.3	137.13	137.28	189.91	201.97	69.9	80.78	37.19	163.25
gene73.1	146.46	99.77	150	174.56	180.59	81.21	150.04	138.71	52.73	154.88	220.53	151.73
gene74.1	98.84	19.73	234.99	88.96	141.27	107.68	58.11	118.72	125.2	217.13	217.32	161.06
gene75.1	165.53	211.49	153.24	198.98	130.26	151.33	23.31	146.72	138.79	164.67	83.5	136.25
gene76.1	239.4	25.67	247.21	197.53	57.45	249.38	237.22	180.52	185.51	249.84	72.57	154.74
gene77.1	10.18	25.19	210.24	20.06	133.4	249.02	218.19	143.25	154.16	62.35	199.69	138.62
gene78.1	84.87	40.22	170.48	8.61	216.19	71.21	121	160.97	220.42	180.36	163.29	63.49
gene79.1	161.12	2.17	245.66	233.76	204.2	4.87	136.27	178.4	182.17	109.66	153.38	172.05
gene80.1	82.57	140.6	106.23	214.47	175.63	234.55	214.95	197.15	175.09	153.18	150.55	51.07
gene81.1	13.97	40.96	203.59	190.44	100.39	204.08	230.12	88.19	49.06	22.37	15.48	207.84
gene82.1	90.47	222.93	128.38	75.86	169.46	35.25	233.38	188.09	54.6	120.2	151.34	107.08
gene83.1	130.49	27.09	241.14	53.05	163.8	18.09	181.05	61.04	241.28	40.39	216.19	25.57
gene84.1	12.74	55.68	131.9	2.08	55.44	219.2	1.99	219.76	72.59	215.64	79.26	139.85
gene85.1	122.47	61.5	220.88	54.02	145.32	227.99	149.12	63.49	165.94	202.43	30.69	100.73
gene86.1	193.78	151.45	54.96	10.86	150.55	93.61	91.25	166.79	246.36	210.01	133.14	67.02
gene87.1	108.06	223.29	184.26	8.58	209.52	73.25	37.07	218.04	117.63	20.59	100.62	129.35
gene88.1	156.68	95.99	142.26	186.23	45.36	30.62	87.34	180.27	141.37	180.09	209.48	192.4
gene89.1	87.66	36.74	60.13	117.46	41.31	39.8	177.58	178.61	133.28	27.35	42.26	121.14
gene90.1	52.76	63.71	43.62	37.28	74.05	172.62	212.4	37.42	214.06	24.18	227.13	98.1
gene91.1	19.88	164.76	221.88	3.93	203.19	109.53	22.53	15.17	59.77	57.11	145.1	167.49
gene92.1	96.14	29.45	236.15	92.99	168.25	175.22	101.56	221.1	107.54	85.77	97.08	36.13
gene93.1	43.2	174.31	183.72	129.05	94.38	64.09	107.68	144.34	35.42	70.99	243.68	240.62
gene94.1	236.46	89.35	161.91	231.93	5.59	222.14	76.94	118.74	162.06	97.19	120.51	98.25
gene95.1	114.39	52.38	141.18	62.51	101.88	241.49	173.01	172.22	18.94	51.35	8.2	142.41
gene96.1	233.5	177.92	180.15	17.47	1.15	33.18	141.76	20.06	25.73	243.87	205.03	172.95
gene97.1	158.83	135.56	22.31	105.09	85.4	176.04	238.64	8.45	87.7	198.38	135.74	79.3
gene98.1	146.19	108.22	87.14	209.65	203.56	200.91	21.4	226.5	115.35	187.38	166.4	109.58
gene99.1	215.67	171.12	155.66	91.06	175.25	5.75	239.43	69.37	185.14	142.1	53.1	135.82
gene100.1	95.47	157.27	149.3	154.62	53.18	83.77	87.18	50.94	118.8	19.49	186.91	189.68
