Gene ID	Leaf	Leaf	Leaf	Fruit	Fruit	Fruit	Root	Root	Root	Peel	Peel	Peel	Seed	Seed	Seed	Germinating Seed	Germinating Seed	Germinating Seed	Darkness	Darkness	Darkness	Drought	Drought	Drought	Heat	Heat	Heat	Cold	Cold	Cold
gene56.1	76.99	151.73	90.79	113.27	193.51	184.61	139.64	262.88	108.77	78.12	149.57	54.29	77.4	34.36	25.95	170.68	203.93	195.98	71.65	24.39	50.44	52.58	20.82	41.12	62.99	31.66	45.82	114.39	41.28	73.79
gene57.1	149.57	92.04	130.56	54.14	20.87	48.74	72.19	35.18	56.02	195.48	111.51	212.18	96.82	198.19	157.57	145.72	141.9	152.95	46.72	38.44	29.66	58.1	60.29	53.46	58.68	56.07	42.48	27.09	13.59	16.43
gene58.1	105.65	83.02	108.92	44.26	38.55	61.95	85.5	49.28	87.69	67.3	67.77	36.4	14.84	10.63	19.85	121.06	112.55	185.48	18.04	8.88	9.31	10.79	1.97	8.33	24.66	24.42	20.75	32.86	24.34	10.46
gene59.1	29.37	9.15	34.01	16.85	10.16	15.92	21.45	14.56	22.27	37.27	7.79	9.46	1.21	2.75	6.17	27.98	22.57	50.68	6.88	5.17	1.95	5.27	2.66	5.63	7.89	7.13	2.09	8.34	6.29	2.02
gene60.1	63.45	102.1	44.41	93.06	194.92	114.27	69	71.62	134.5	32.02	497.45	95.26	45.39	12.92	29.31	80.31	56.09	72.3	25.03	49.07	64.51	21.21	16.38	56.38	24.66	41.94	34.26	77.48	41.48	30.1
gene61.1	31.37	56.33	22.91	24.28	26.8	16.91	14.03	54.53	25.83	30.23	66.1	80.22	105.71	52.13	60.73	29.08	37.24	23.96	12.41	8.58	19.27	12.42	9.47	13.96	19.25	16.71	17.41	14.83	11.97	14.96
gene62.1	3.71	7.99	2.11	7.9	9.12	9.13	3.71	2.44	5.64	4.78	12.24	3.97	6.21	4.49	3.44	6.74	15.04	24.17	5.74	7.22	8.23	7.28	11.15	6.28	4.77	2.57	6.69	7.85	8.93	7.25
gene63.1	120.34	167.71	126.49	102.24	167.84	151.17	137.58	98.57	156.67	103.1	175.61	157.38	92.24	180.5	144.46	84.94	142.36	99.22	243.32	295.98	274.38	200.01	230.78	196.09	199.06	227.56	164.9	202.42	314.73	209.06
gene64.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.41	0	0	0	0	0	0	0	0	0	0	0	0
gene65.1	70.01	27.2	80.39	14.87	7.43	10.86	11.34	6.51	14.94	116.05	17.25	62.73	3.19	20.71	19.78	13.38	18.29	14.48	9.7	5.46	2.6	1.76	0.49	1.52	4.22	2.34	2.23	0.74	3.14	1.19
gene66.1	4.56	4.64	2.95	0.23	0.94	0.74	0.72	0.72	2.18	5.05	2.78	1.53	0.35	0.64	0.35	0.7	0.84	0.71	0.1	0.1	0.11	0.5	0	0.11	0	0.12	0.14	0.25	0.61	0
gene67.1	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.91	0.93	0.2	0	0	0	0	0	0	0.09	0.93	0	0	0	0
gene68.1	8.84	11.47	10.68	12.43	7.71	7.77	14.44	11.48	13.36	8.93	2.23	13.32	11.13	11.82	15.08	9.96	9.47	11.42	4.9	2.93	6.17	7.28	3.45	6.82	4.49	2.1	3.62	8.83	2.13	1.65
gene69.1	2.14	4.25	1.97	2.79	6.49	6.54	3.3	3.17	3.46	3.81	4.45	1.53	1.64	2.29	2.17	3.72	3.25	8.97	2.29	1.66	3.14	3.76	3.65	4.11	4.68	2.34	4.74	4.66	4.26	3.49
gene70.1	74.57	73.74	64.37	78.07	100.61	140.31	57.34	169.47	110.95	63.49	67.55	64.25	15.79	95.75	96.98	115.23	70.58	141.23	102.62	110.72	78.9	95.99	110.11	94.37	143.49	163.2	171.31	184.27	82.97	111.05
gene71.1	6.84	12.12	12.79	14.75	5.64	21.35	5.36	13.47	9.4	10.86	21.26	13.62	1.64	25.47	23.14	16.1	17.92	16.72	4.28	5.27	2.16	3.76	3.65	2.81	10.09	4.67	3.48	3.92	3.85	6.79
gene72.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene73.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene74.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene75.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09
gene76.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene77.1	0	0.39	0.14	0.12	0.19	0.86	0	0.09	0.4	0.24	0	0	0.09	0.37	0	0.91	0.37	0	0.1	0	0.32	0	0	0	0	0	0	0	0	0
gene78.1	0.43	2.45	1.41	0.93	0.56	3.7	0.21	3.35	3.17	2.13	0.89	2.44	0.69	2.93	3.09	2.82	5.29	3.67	1.36	0.49	1.73	0.75	0.49	0.54	0.64	0.23	1.11	0.86	0.51	0.46
gene79.1	0	0	0.14	0	0.28	0.12	0	0	0.1	0	0	0	0	0	0.07	0	0.09	0.2	0.1	0	0	0	0	0	0.09	0	0	0.12	0.2	0.55
gene80.1	0.86	0.26	0.56	1.74	0.09	2.71	0	0	2.18	2.82	0.33	0.1	0.09	2.02	0.77	3.02	0.37	2.04	1.36	0.2	0.43	0.75	1.18	1.41	1.19	1.75	1.39	0.49	1.22	1.38
gene81.1	0	0	0	0	0	0	0.1	0	0	0	0	1.32	0	1.47	1.75	0.91	0.74	0.41	1.46	1.37	0.11	4.77	1.09	1.19	2.84	0.12	0	10.91	3.25	2.11
gene82.1	100.95	58.53	92.34	87.6	62.9	130.68	152.63	55.52	132.03	88.15	30.38	19.11	24.42	16.03	18.44	59.78	40.4	68.73	35.15	17.07	13.2	50.07	18.45	31.49	32.37	32.13	17.97	64.73	26.37	27.07
gene83.1	110.36	136	78.28	112.46	170.94	115.01	88.07	166.66	106.89	66.79	159.25	75.24	141.43	69.09	58.55	70.24	98.62	57.92	101.06	81.56	85.29	150.2	91.66	77.81	119.56	104.55	78.97	89.87	60.96	67.82
gene84.1	14.26	11.47	12.23	20.45	17.11	13.45	22.59	6.69	25.83	17.11	12.69	7.63	10.79	8.8	6.66	26.77	18.94	10.2	47.45	49.26	54.77	35.76	39.57	29.98	23.66	32.71	20.47	42.18	31.44	19
gene85.1	15.26	34.68	30.92	21.38	14.95	27.02	25.68	53.35	14.75	19.44	30.83	24.6	18.81	22.45	23.77	22.94	17.46	22.23	28.68	29.85	62.13	18.32	15.39	16.99	27.51	12.62	18.94	18.76	19.98	16.89
gene86.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene88.1	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene89.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene90.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene91.1	9.55	3.35	8.99	15.8	17.02	9.38	13.41	0	8.41	13.19	6.23	15.05	0.6	7.06	7.57	20.73	9.47	15.19	2.71	0.88	1.19	3.26	2.07	2.38	3.21	2.1	1.95	3.07	5.27	2.39
gene92.1	43.77	26.81	70.83	44.38	49.18	33.69	68.79	15.01	51.37	44.25	41.4	30.2	4.4	27.03	23.42	36.83	21.45	31.92	21.48	31.51	19.16	26.85	19.34	26.3	15.5	10.75	12.95	10.42	3.85	14.32
gene93.1	0.29	0	0	0.12	0	0	0.21	0.09	0	0.1	0.22	0	0	0	0	0	0	0.2	0	0.1	0	0	0	0	0	0	0	0.12	0.81	0
gene94.1	5.13	9.28	11.1	1.98	9.4	2.84	4.54	2.98	2.87	7.11	7.68	7.93	2.85	2.93	5.4	2.72	4.27	3.06	4.8	4.1	6.71	3.01	3.26	2.6	4.95	4.09	6.55	0.37	0.71	2.29
gene95.1	4.56	6.7	3.37	3.6	3.57	6.29	6.5	5.52	2.47	5.6	11.46	4.88	4.31	3.48	2.17	4.53	6.04	6.22	2.19	2.54	1.73	2.38	2.96	2.6	1.38	0.82	0.97	2.82	2.84	2.11
gene96.1	41.49	35.97	32.04	27.53	25.95	22.95	49.5	35	23.56	32.64	50.52	49.72	28.13	34.27	28.54	29.49	30	34.57	31.6	27.51	19.48	30.87	24.77	23.59	18.25	18.92	20.61	22.93	16.33	20.56
gene97.1	129.32	140.39	124.1	120.82	154.86	154	94.98	244.53	185.77	102.55	169.82	210.35	63.42	184.17	203.92	127	143.29	165.6	115.97	131.89	137.24	165.38	113.96	155.51	186.04	197.77	217.13	177.04	123.64	145.55
gene98.1	3.71	5.03	10.82	13.36	4.23	12.96	6.08	0	7.32	11.78	6.01	17.08	0.86	13.01	10.8	7.25	10.12	18.97	8.55	7.12	7.58	5.9	4.64	8.98	14.67	14.84	8.22	15.94	8.42	7.34
gene99.1	0.43	0.26	0.84	0.12	1.6	1.97	0.21	0.09	0.3	1.06	0.56	0.31	0	0.55	0.98	1.11	0.46	0.61	0.21	0.39	0	0.38	0.3	0.11	0.28	0.23	0.56	0.49	0.3	0
gene100.1	5.13	4.25	5.34	105.72	149.69	102.42	93.33	87.72	112.83	1.41	2.11	0.71	0.35	0.92	1.4	27.67	10.03	13.05	7.51	9.46	3.57	1.88	3.06	3.03	48.69	74.65	45.68	353.34	347.6	263.3
gene101.1	18.39	9.02	9.14	19.63	14.67	24.06	21.04	46.48	21.77	13.02	11.46	9.46	13.03	6.51	11.36	11.87	12.17	11.32	4.8	4.39	4.76	5.4	4.24	2.6	6.51	7.59	6.41	7.97	7.51	3.58
gene102.1	4.28	7.73	6.04	4.88	28.96	11.97	1.86	0.18	0.79	2.95	10.57	10.17	3.37	12.46	9.96	5.33	6.31	8.36	10.43	6.73	15.04	4.89	8.09	8.98	9.63	6.19	17.27	0.98	5.48	6.15
gene103.1	6.27	22.04	33.59	27.88	49.46	31.47	13.61	65.38	44.74	22.26	45.52	58.87	10.96	72.57	78.12	32.4	52.84	42.52	53.4	54.05	90.81	56.84	64.53	64.93	56.94	47.55	84.26	44.63	13.9	59.01
gene104.1	4.28	3.87	0.98	1.39	1.13	2.59	0.31	5.88	3.86	2.06	3	1.12	4.14	1.01	1.89	2.82	0.84	1.84	0.94	1.37	1.41	1.51	0.79	0.22	2.29	0.82	1.67	1.35	0.71	0.46
gene105.1	0	0	0	0	0	0	0	0	0	0.34	0	0.2	0.69	0.27	1.12	0	0	0	0.42	0	0.11	0.25	0	0	0.28	0	0	0	0	0
gene106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene107.1	0.14	5.29	6.04	0	0	0.62	0.93	0	6.04	0	2.34	1.32	0	0	0.07	0	0	0	96.16	58.92	64.08	0.38	1.28	0	0.73	4.44	0.28	0	0.41	2.66
gene108.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene109.1	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene110.1	13.97	4.51	7.87	6.04	3.67	19.5	6.7	0.18	7.82	13.36	1.78	3.76	0.26	4.58	5.33	5.74	9.01	9.18	3.55	3.41	2.27	6.65	3.95	4.76	4.58	5.14	4.74	5.52	4.87	4.41
gene111.1	5.7	0.77	3.37	3.02	8.27	7.77	10.11	0.45	3.56	1.41	0.89	1.93	0.09	0.92	0.07	2.31	1.58	6.42	4.48	3.12	7.79	4.02	2.47	7.79	4.22	3.04	5.29	9.44	4.36	2.29
gene112.1	27.09	12.89	13.49	17.19	9.78	8.51	18.36	10.49	17.42	17.35	15.13	10.47	14.24	10.63	11.5	10.87	10.77	8.06	4.07	2.54	4.65	3.39	4.44	5.41	11.09	9.35	4.32	10.3	6.09	2.85
gene113.1	176.8	106.61	134.5	55.88	54.63	39.98	61.26	42.23	64.73	149.68	77.34	181.68	125.21	212.11	206.17	87.25	97.97	85.25	32.64	18.44	17.32	24.09	17.66	18.07	37.96	28.04	32.31	49.78	18.16	18.26
gene114.1	16.97	7.86	14.76	5.58	8.93	11.48	6.19	0.45	6.73	19.51	5.34	8.74	0.43	3.3	5.75	5.43	5.39	7.14	7.2	4.29	3.79	8.28	4.05	4	2.66	0.93	0.14	7.36	6.19	4.68
gene115.1	1.71	3.09	1.69	0.93	2.44	4.2	1.44	0.9	0.59	2.58	1.45	0.71	0.43	0.64	1.4	1.21	2.41	1.22	0.94	0.68	0.87	1.63	1.09	0.32	0.55	0.35	0.28	2.08	1.62	0.92
gene116.1	25.66	15.6	17.29	14.29	4.98	7.65	11.34	22.25	19.3	12.23	17.47	8.74	19.67	19.06	21.95	58.47	73.64	61.28	5.11	5.56	5.2	10.92	8.29	10.06	18.7	27.1	14.9	32.61	12.48	13.4
gene117.1	1270.55	1436.08	1300.14	1458.73	1561.99	1527.7	1466.12	1530.27	1653.05	1324.17	1264.66	1934.05	1897.35	1938.8	1948.7	1631.89	1172.07	1328.24	2012.86	3444.55	2139.73	2472.32	2966.42	3078.76	2369.5	2469.08	2123.77	1219.03	3005.96	2314.1
gene118.1	39.07	42.67	27.41	26.6	54.63	55.16	23.72	15.73	40.97	30.82	6.23	19.83	16.22	25.29	22.44	26.67	31.2	52.72	46.1	13.66	20.67	53.71	21.02	34.2	38.51	18.92	19.22	34.57	24.24	21.02
gene119.1	5.13	5.41	4.36	11.5	7.15	4.44	0.1	0.45	8.31	5.57	6.34	12.1	3.37	19.15	15.99	5.43	15.6	9.28	10.74	6.15	6.39	8.41	6.51	6.38	9.26	5.72	7.1	4.41	5.78	3.03
gene120.1	166.25	194.53	145.32	123.26	148.09	161.41	85.19	50.37	107.09	166.35	169.82	172.13	188.11	231.72	232.53	92.79	127.41	114.82	86.56	55.8	32.04	69.52	53.77	33.76	76.47	80.49	51.39	115.25	144.44	92.42
gene121.1	10.55	8.64	12.51	5.69	21.16	30.48	7.53	2.08	15.44	8	27.04	12.51	19.24	18.78	17.46	16.3	15.69	16.42	8.45	7.61	9.31	7.91	3.95	8.01	11.55	5.49	3.62	12.87	5.27	9.18
gene122.1	2.42	4.9	4.64	12.55	8.09	6.42	1.55	6.42	2.18	2.85	4.12	1.73	4.23	2.38	3.51	5.53	6.5	4.79	4.07	4.1	3.68	6.65	3.95	3.79	6.05	5.84	6.82	4.29	2.33	4.77
gene123.1	8.13	2.32	4.5	8.95	2.35	9.38	23.51	29.57	3.96	3.95	6.01	3.76	0.17	2.75	2.52	2.82	4.55	7.44	5.11	4.49	7.79	6.02	2.86	5.19	6.33	5.02	5.85	11.52	6.8	9.45
gene124.1	45.91	67.94	44.55	70.29	51.34	60.71	46.41	111.59	72.84	59.98	59.43	87.13	35.64	87.04	85.2	41.16	71.41	64.85	47.04	44.97	43.94	50.32	59.3	47.29	86.1	81.07	104.45	65.1	44.12	60.57
gene125.1	10.41	2.71	3.79	3.37	2.07	2.96	2.68	0.09	2.18	12.2	1.89	1.12	0.35	0.09	0.21	0.4	0.37	0.51	0.63	0.29	0.22	0.25	0.59	0.32	0.64	0.35	0.56	0.49	0.2	0.64
