ID	ACC Name	Species	Germoplasm type	Date	Country	Country code	Research Center
33	ac-33	Genus species	Tree	11. Apr 98	EE UU	USA	IHSM
34	ac-34	Genus species	Tree	11. Apr 98	CHILE	CHL	IHSM
35	ac-35	Genus species	Tree	11. Apr 98	CHILE	CHL	IHSM
36	ac-36	Genus species	Tree	11. Apr 98	CHILE	CHL	IHSM
37	ac-37	Genus species	Tree	11. Apr 98	CHILE	CHL	IHSM
38	ac-38	Genus species	Tree	11. Apr 98	SPAIN	ESP	IHSM
39	ac-39	Genus species	Tree	11. Apr 98	CHILE	CHL	IHSM
40	ac-40	Genus species	Tree	01. May 98	PERU	PER	IHSM
41	ac-41	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
42	ac-42	Genus species	Seed	01. Dec 98	PERU	PER	IHSM
43	ac-43	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
44	ac-44	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
45	ac-45	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
46	ac-46	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
47	ac-47	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
48	ac-48	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
49	ac-49	Genus species	Tree	01. Dec 98	PERU	PER	IHSM
50	ac-50	Genus species	Tree	01. May 99	PERU	PER	IHSM
51	ac-51	Genus species	Tree	01. May 99	PERU	PER	IHSM
52	ac-52	Genus species	Seed	01. May 99	PERU	PER	IHSM
53	ac-53	Genus species	Tree	01. May 99	PERU	PER	IHSM
54	ac-54	Genus species	Tree	01. May 99	PERU	PER	IHSM
55	ac-55	Genus species	Tree	01. May 99	PERU	PER	IHSM
56	ac-56	Genus species	Tree	01. May 99	PERU	PER	IHSM
57	ac-57	Genus species	Tree	01. May 99	PERU	PER	IHSM
58	ac-58	Genus species	Tree	01. May 99	PERU	PER	IHSM
59	ac-59	Genus species	Tree	01. May 99	PERU	PER	IHSM
60	ac-60	Genus species	Tree	01. May 99	PERU	PER	IHSM
61	ac-61	Genus species	Tree	01. May 99	PERU	PER	IHSM
62	ac-62	Genus species	Tree	01. May 99	PERU	PER	IHSM
63	ac-63	Genus species	Tree	01. May 99	PERU	PER	IHSM
64	ac-64	Genus species	Tree	01. May 99	PERU	PER	IHSM
65	ac-65	Genus species	Tree	01. May 99	PERU	PER	IHSM
66	ac-66	Genus species	Tree	01. May 99	PERU	PER	IHSM
67	ac-67	Genus species	Tree	01. May 99	PERU	PER	IHSM
68	ac-68	Genus species	Tree	01. May 99	PERU	PER	IHSM
69	ac-69	Genus species	Tree	01. May 99	PERU	PER	IHSM
70	ac-70	Genus species	Tree	01. May 99	PERU	PER	IHSM
71	ac-71	Genus species	Tree	01. May 99	PERU	PER	IHSM
72	ac-72	Genus species	Tree	01. May 99	PERU	PER	IHSM
73	ac-73	Genus species	Tree	01. May 99	PERU	PER	IHSM
74	ac-74	Genus species	Tree	01. May 99	PERU	PER	IHSM
75	ac-75	Genus species	Tree	01. May 99	PERU	PER	IHSM
76	ac-76	Genus species	Tree	01. May 99	PERU	PER	IHSM
77	ac-77	Genus species	Tree	01. May 99	PERU	PER	IHSM
78	ac-78	Genus species	Tree	01. May 99	PERU	PER	IHSM
79	ac-79	Genus species	Tree	01. May 99	PERU	PER	IHSM
80	ac-80	Genus species	Tree	01. May 99	PERU	PER	IHSM
81	ac-81	Genus species	Tree	01. May 99	PERU	PER	IHSM
82	ac-82	Genus species	Tree	01. May 99	PERU	PER	IHSM
83	ac-83	Genus species	Tree	01. May 99	PERU	PER	IHSM
84	ac-84	Genus species	Tree	01. May 99	PERU	PER	IHSM
85	ac-85	Genus species	Tree	01. May 99	PERU	PER	IHSM
86	ac-86	Genus species	Tree	01. May 99	PERU	PER	IHSM
87	ac-87	Genus species	Tree	01. May 99	PERU	PER	IHSM
88	ac-88	Genus species	Tree	01. May 99	PERU	PER	IHSM
89	ac-89	Genus species	Tree	01. May 99	PERU	PER	IHSM
90	ac-90	Genus species	Tree	01. May 99	PERU	PER	IHSM
91	ac-91	Genus species	Tree	01. May 99	PERU	PER	IHSM
92	ac-92	Genus species	Tree	01. May 99	PERU	PER	IHSM
93	ac-93	Genus species	Tree	01. May 99	PERU	PER	IHSM
94	ac-94	Genus species	Tree	01. May 99	PERU	PER	IHSM
95	ac-95	Genus species	Tree	01. May 99	PERU	PER	IHSM
96	ac-96	Genus species	Tree	01. May 99	PERU	PER	IHSM
97	ac-97	Genus species	Tree	01. May 99	PERU	PER	IHSM
98	ac-98	Genus species	Tree	01. May 99	PERU	PER	IHSM
99	ac-99	Genus species	Tree	01. May 99	PERU	PER	IHSM
100	ac-100	Genus species	Tree	01. May 99	PERU	PER	IHSM
